Close,Timestamp,High,Low,Open
733.22160259,1609430400,736.31612382,732.5,735.9
733.57854122,1609431300,735.02485017,731.08,733.01483933
729.60924401,1609432200,733.38003231,729.60924401,733.38003231
727.74238537,1609433100,730.27746616,725.0,730.27746616
735.02342046,1609434000,735.13513496,727.0,727.66962826
741.39901445,1609434900,742.46293963,732.78830329,735.54837588
740.18357148,1609435800,742.4134005,738.38796247,741.73839209
736.65989551,1609436700,739.95029903,735.6338995,739.64295878
737.7573189,1609437600,738.03964613,735.29177138,737.22373182
737.66055242,1609438500,737.86496812,736.04183994,736.7253683
737.4,1609439400,739.3868065,737.4,737.93036833
740.1063894,1609440300,740.31537037,737.802,737.802
740.28494234,1609441200,740.598858,738.1,739.55774706
740.19604306,1609442100,741.0,739.8219819,740.78362346
738.46035739,1609443000,741.84,738.46035739,740.86922586
737.69354362,1609443900,739.85936704,737.69354362,738.46035739
740.01,1609444800,740.04889751,738.40693238,738.86309118
738.29805583,1609445700,739.26368854,737.92991712,739.26368854
740.05292901,1609446600,740.19354361,737.63353299,738.29805583
744.0631578,1609447500,744.11504949,739.2073558,739.52976473
741.85679457,1609448400,744.71782245,740.98781778,743.68912861
740.11178163,1609449300,742.4,740.02680693,741.2813372
738.65639273,1609450200,740.22343338,737.86069926,740.208254
738.23641754,1609451100,738.80908481,737.13236474,738.48355119
739.24370661,1609452000,739.24370661,736.44979814,738.36884137
738.97352869,1609452900,740.29199,738.97352869,739.51140621
740.78362346,1609453800,740.78362346,738.88565111,738.88565111
740.23092389,1609454700,742.0,740.23092389,740.77513963
741.0,1609455600,741.0,736.0,740.23093391
740.04980359,1609456500,741.61504949,739.37023704,741.61504948
736.12106366,1609457400,739.6984471,736.12106366,739.03649618
735.97318157,1609458300,737.73112926,732.73112926,736.11560879
730.58062039,1609459200,738.61595689,730.29897523,736.21270715
730.34237822,1609460100,731.91766922,729.51883258,731.28299517
733.68787903,1609461000,734.13622891,731.92807443,732.01883256
733.95740589,1609461900,735.42652507,732.44637478,733.0
742.70823284,1609462800,743.0,733.67778628,734.57011892
742.57518283,1609463700,743.56682759,740.18733958,743.25515829
746.80367423,1609464600,748.18952818,741.74293589,742.59748149
748.34467258,1609465500,748.73865999,745.85049245,746.87037383
743.94384934,1609466400,749.0,743.94384934,748.34467259
744.45855551,1609467300,746.3845357,744.35055519,744.35055519
744.86324253,1609468200,745.51733556,741.58229861,744.43261607
744.26498339,1609469100,746.5890722,743.4929342,744.37874923
744.15695689,1609470000,745.76469558,743.09137638,744.87657138
743.95507556,1609470900,745.62061685,743.95507556,744.14885675
745.46545853,1609471800,747.06995285,744.79053768,744.79053768
745.5179007,1609472700,746.59325123,745.31752849,746.59325123
744.249,1609473600,745.5179007,743.94384934,745.5179007
745.24045085,1609474500,746.54203906,745.2,745.824
740.85378977,1609475400,745.7444836,739.75574647,745.24045085
741.81813435,1609476300,742.72436719,741.76762991,742.25574647
742.38866301,1609477200,742.42329129,740.0,742.10306079
741.65287147,1609478100,742.56706578,740.82116705,742.31441152
741.17206594,1609479000,741.40673952,739.89897137,741.03018218
741.69369731,1609479900,741.73078558,741.05947032,741.06568737
742.04083697,1609480800,742.94016295,741.98512967,741.98512967
737.6993934,1609481700,742.3331601,737.6993934,742.3331601
739.40897616,1609482600,739.40897616,737.48761501,737.97721024
738.90679448,1609483500,739.92601454,738.44317892,739.85434201
735.42601593,1609484400,740.217,734.0,740.0
736.0,1609485300,738.76462841,735.0,735.17088687
737.53121871,1609486200,737.55813552,735.15520921,736.07648858
736.77662591,1609487100,737.36605588,736.25896608,736.25896608
732.73112926,1609488000,738.20999211,732.73112926,737.38378604
731.24358913,1609488900,733.17083834,726.0,733.17083834
727.58534712,1609489800,733.3214065,727.31028091,731.20962103
