Date,Close,Log return,,,
2018/1/1,13657.2002,0.08,,,autocorrelation (lag1)
2018/1/2,14982.09961,0.092589259,,train,-0.048861118
2018/1/3,15201,0.014505086,,test,-0.0811841
2018/1/4,15599.2002,0.025858429,,whole,-0.054283521
2018/1/5,17429.5,0.110944529,,,
2018/1/6,17527,0.005578376,,,
2018/1/7,16477.59961,-0.06174069,,,
2018/1/8,15170.09961,-0.0826755,,,
2018/1/9,14595.40039,-0.038619922,,,
2018/1/10,14973.29981,0.025562165,,,
2018/1/11,13405.79981,-0.110581167,,,
2018/1/12,13980.59961,0.041983191,,,
2018/1/13,14360.2002,0.026789879,,,
2018/1/14,13772,-0.04182296,,,
2018/1/15,13819.79981,0.003464787,,,
2018/1/16,11490.5,-0.184581726,,,
2018/1/17,11188.59961,-0.026625239,,,
2018/1/18,11474.90039,0.025266707,,,
2018/1/19,11607.40039,0.011480784,,,
2018/1/20,12899.2002,0.10552245,,,
2018/1/21,11600.09961,-0.106151624,,,
2018/1/22,10931.40039,-0.059374268,,,
2018/1/23,10868.40039,-0.005779885,,,
2018/1/24,11359.40039,0.044186097,,,
2018/1/25,11259.40039,-0.008842259,,,
2018/1/26,11171.40039,-0.007846394,,,
2018/1/27,11440.7002,0.023820215,,,
2018/1/28,11786.29981,0.029760634,,,
2018/1/29,11296.40039,-0.042453698,,,
2018/1/30,10106.29981,-0.111325152,,,
2018/1/31,10221.09961,0.0112952,,,
2018/2/1,9170.540039,-0.108457996,,,
2018/2/2,8830.75,-0.037756228,,,
2018/2/3,9174.910156,0.038232653,,,
2018/2/4,8277.009766,-0.102990838,,,
2018/2/5,6955.27002,-0.173982115,,,
2018/2/6,7754,0.108709191,,,
2018/2/7,7621.299805,-0.017261906,,,
2018/2/8,8265.589844,0.081154162,,,
2018/2/9,8736.980469,0.055463551,,,
2018/2/10,8621.900391,-0.013259123,,,
2018/2/11,8129.970215,-0.058748263,,,
2018/2/12,8926.570313,0.093474998,,,
2018/2/13,8598.30957,-0.037466635,,,
2018/2/14,9494.629883,0.099160741,,,
2018/2/15,10166.40039,0.06836184,,,
2018/2/16,10233.90039,0.006617574,,,
2018/2/17,11112.7002,0.082382839,,,
2018/2/18,10551.79981,-0.051792173,,,
2018/2/19,11225.29981,0.061873699,,,
2018/2/20,11403.7002,0.015767739,,,
2018/2/21,10690.40039,-0.064591703,,,
2018/2/22,10005,-0.066261211,,,
2018/2/23,10301.09961,0.02916568,,,
2018/2/24,9813.070313,-0.048535445,,,
2018/2/25,9664.730469,-0.015231978,,,
2018/2/26,10366.7002,0.07011554,,,
2018/2/27,10725.59961,0.034034606,,,
2018/2/28,10397.90039,-0.031029471,,,
2018/3/1,10951,0.051826876,,,
2018/3/2,11086.40039,0.012288391,,,
2018/3/3,11489.7002,0.035731832,,,
2018/3/4,11512.59961,0.001991055,,,
2018/3/5,11573.29981,0.005258651,,,
2018/3/6,10779.90039,-0.071017379,,,
2018/3/7,9965.570313,-0.078547142,,,
2018/3/8,9395.009766,-0.058957511,,,
2018/3/9,9337.549805,-0.006134788,,,
2018/3/10,8866,-0.051820148,,,
2018/3/11,9578.629883,0.077310827,,,
2018/3/12,9205.120117,-0.0397747,,,
2018/3/13,9194.849609,-0.001116362,,,
2018/3/14,8269.80957,-0.10603202,,,
2018/3/15,8300.860352,0.003747684,,,
2018/3/16,8338.349609,0.004506142,,,
2018/3/17,7916.879883,-0.051868134,,,
2018/3/18,8223.679688,0.038020585,,,
2018/3/19,8630.650391,0.048302107,,,
2018/3/20,8913.469727,0.032243719,,,
2018/3/21,8929.280273,0.00177221,,,
2018/3/22,8728.469727,-0.02274573,,,
2018/3/23,8879.620117,0.017168711,,,
2018/3/24,8668.120117,-0.024106835,,,
2018/3/25,8495.780273,-0.020082339,,,
2018/3/26,8209.400391,-0.034289715,,,
2018/3/27,7833.040039,-0.046929197,,,
2018/3/28,7954.47998,0.015384599,,,
2018/3/29,7165.700195,-0.104429509,,,
2018/3/30,6890.52002,-0.039159224,,,
2018/3/31,6973.529785,0.011974965,,,
2018/4/1,6844.22998,-0.018715563,,,
2018/4/2,7083.799805,0.034404501,,,
2018/4/3,7456.109863,0.051223353,,,
2018/4/4,6853.839844,-0.084224756,,,
2018/4/5,6811.470215,-0.006201069,,,
2018/4/6,6636.319824,-0.026050421,,,
2018/4/7,6911.089844,0.040569779,,,
2018/4/8,7023.52002,0.016137175,,,
2018/4/9,6770.72998,-0.036655613,,,
2018/4/10,6834.759766,0.009412415,,,
2018/4/11,6968.319824,0.019352816,,,
2018/4/12,7889.25,0.124126936,,,
2018/4/13,7895.959961,0.000850158,,,
2018/4/14,7986.240234,0.011368859,,,
2018/4/15,8329.110352,0.04203656,,,
2018/4/16,8058.669922,-0.033008129,,,
2018/4/17,7902.089844,-0.019621259,,,
2018/4/18,8163.419922,0.032535928,,,
2018/4/19,8294.30957,0.015906496,,,
2018/4/20,8845.830078,0.064376485,,,
2018/4/21,8895.580078,0.005608363,,,
2018/4/22,8802.459961,-0.010523309,,,
2018/4/23,8930.879883,0.014483698,,,
2018/4/24,9697.5,0.082353199,,,
2018/4/25,8845.740234,-0.091932107,,,
2018/4/26,9281.509766,0.04808821,,,
2018/4/27,8987.049805,-0.032239593,,,
2018/4/28,9348.480469,0.039429183,,,
2018/4/29,9419.080078,0.007523614,,,
2018/4/30,9240.549805,-0.019136041,,,
2018/5/1,9119.009766,-0.013240167,,,
2018/5/2,9235.919922,0.012739001,,,
2018/5/3,9743.860352,0.053537158,,,
2018/5/4,9700.759766,-0.00443317,,,
2018/5/5,9858.150391,0.016094355,,,
2018/5/6,9654.799805,-0.020843383,,,
2018/5/7,9373.009766,-0.029620923,,,
2018/5/8,9234.820313,-0.014853101,,,
2018/5/9,9325.179688,0.009737079,,,
2018/5/10,9043.94043,-0.030623267,,,
2018/5/11,8441.490234,-0.068936107,,,
2018/5/12,8504.889648,0.00748239,,,
2018/5/13,8723.94043,0.025429769,,,
2018/5/14,8716.790039,-0.000819965,,,
2018/5/15,8510.379883,-0.023964474,,,
2018/5/16,8368.830078,-0.016772482,,,
2018/5/17,8094.319824,-0.03335154,,,
2018/5/18,8250.969727,0.019168177,,,
2018/5/19,8247.179688,-0.00045945,,,
2018/5/20,8513.25,0.031752487,,,
2018/5/21,8418.990234,-0.011133877,,,
2018/5/22,8041.779785,-0.045839471,,,
2018/5/23,7557.819824,-0.062067659,,,
2018/5/24,7587.339844,0.003898283,,,
2018/5/25,7480.140137,-0.014229522,,,
2018/5/26,7355.879883,-0.016751549,,,
2018/5/27,7368.220215,0.001676209,,,
2018/5/28,7135.990234,-0.03202516,,,
2018/5/29,7472.589844,0.046090612,,,
2018/5/30,7406.52002,-0.008880942,,,
2018/5/31,7494.169922,0.011764678,,,
2018/6/1,7541.450195,0.006289123,,,
2018/6/2,7643.450195,0.0134346,,,
2018/6/3,7720.25,0.009997649,,,
2018/6/4,7514.470215,-0.027016223,,,
2018/6/5,7633.759766,0.015749961,,,
2018/6/6,7653.97998,0.002645287,,,
2018/6/7,7678.240234,0.003164613,,,
2018/6/8,7624.919922,-0.006968564,,,
2018/6/9,7531.97998,-0.012263868,,,
2018/6/10,6786.02002,-0.104293336,,,
2018/6/11,6906.919922,0.01765918,,,
2018/6/12,6582.359863,-0.048130473,,,
2018/6/13,6349.899902,-0.035954274,,,
2018/6/14,6675.350098,0.049982603,,,
2018/6/15,6456.580078,-0.033321874,,,
2018/6/16,6550.160156,0.014389723,,,
2018/6/17,6499.27002,-0.007799635,,,
2018/6/18,6734.819824,0.035601191,,,
2018/6/19,6769.939941,0.005201158,,,
2018/6/20,6776.549805,0.000975879,,,
2018/6/21,6729.740234,-0.006931549,,,
2018/6/22,6083.689941,-0.100925135,,,
2018/6/23,6162.47998,0.012867881,,,
2018/6/24,6173.22998,0.001742908,,,
2018/6/25,6249.180176,0.012228085,,,
2018/6/26,6093.669922,-0.025199769,,,
2018/6/27,6157.129883,0.010360226,,,
2018/6/28,5903.439941,-0.042075519,,,
2018/6/29,6218.299805,0.051961304,,,
2018/6/30,6404,0.029426269,,,
2018/7/1,6385.819824,-0.002842915,,,
2018/7/2,6614.180176,0.035135976,,,
2018/7/3,6529.589844,-0.012871726,,,
2018/7/4,6597.549805,0.010354208,,,
2018/7/5,6639.140137,0.006284119,,,
2018/7/6,6673.5,0.005162002,,,
2018/7/7,6856.930176,0.027115385,,,
2018/7/8,6773.879883,-0.012185823,,,
2018/7/9,6741.75,-0.004754487,,,
2018/7/10,6329.950195,-0.063027167,,,
2018/7/11,6394.709961,0.010178712,,,
2018/7/12,6228.810059,-0.026285767,,,
2018/7/13,6238.049805,0.001482289,,,
2018/7/14,6276.120117,0.006084372,,,
2018/7/15,6359.640137,0.01321982,,,
2018/7/16,6741.75,0.058347742,,,
2018/7/17,7321.040039,0.082432865,,,
2018/7/18,7370.779785,0.006771106,,,
2018/7/19,7466.859863,0.012951038,,,
2018/7/20,7354.129883,-0.0152125,,,
2018/7/21,7419.290039,0.008821326,,,
2018/7/22,7418.490234,-0.000107807,,,
2018/7/23,7711.109863,0.038686564,,,
2018/7/24,8424.269531,0.088454642,,,
2018/7/25,8181.390137,-0.02925469,,,
2018/7/26,7951.580078,-0.028491419,,,
2018/7/27,8165.009766,0.026487262,,,
2018/7/28,8192.150391,0.003318504,,,
2018/7/29,8218.459961,0.003206412,,,
2018/7/30,8180.47998,-0.004632013,,,
2018/7/31,7780.439941,-0.050137942,,,
2018/8/1,7624.910156,-0.020192345,,,
2018/8/2,7567.149902,-0.007604042,,,
2018/8/3,7434.390137,-0.017699947,,,
2018/8/4,7032.850098,-0.055524508,,,
2018/8/5,7068.47998,0.005053418,,,
2018/8/6,6951.799805,-0.01664487,,,
2018/8/7,6753.120117,-0.028995953,,,
2018/8/8,6305.799805,-0.068534824,,,
2018/8/9,6568.22998,0.040774573,,,
2018/8/10,6184.709961,-0.060164276,,,
2018/8/11,6295.72998,0.017791512,,,
2018/8/12,6322.689941,0.004273119,,,
2018/8/13,6297.569824,-0.003980924,,,
2018/8/14,6199.709961,-0.015661306,,,
2018/8/15,6308.52002,0.017398593,,,
2018/8/16,6334.72998,0.004146085,,,
2018/8/17,6580.629883,0.038083278,,,
2018/8/18,6423.759766,-0.024126888,,,
2018/8/19,6506.069824,0.012731981,,,
2018/8/20,6308.529785,-0.030832908,,,
2018/8/21,6488.759766,0.028168761,,,
2018/8/22,6376.709961,-0.017419129,,,
2018/8/23,6534.879883,0.024501682,,,
2018/8/24,6719.959961,0.02792823,,,
2018/8/25,6763.189941,0.006412467,,,
2018/8/26,6707.259766,-0.008304177,,,
2018/8/27,6884.640137,0.026102376,,,
2018/8/28,7096.279785,0.03027781,,,
2018/8/29,7047.160156,-0.006945952,,,
2018/8/30,6978.22998,-0.009829421,,,
2018/8/31,7037.580078,0.008469072,,,
2018/9/1,7193.25,0.021878714,,,
2018/9/2,7272.720215,0.010987305,,,
2018/9/3,7260.060059,-0.00174229,,,
2018/9/4,7361.660156,0.013897371,,,
2018/9/5,6792.830078,-0.080417816,,,
2018/9/6,6529.169922,-0.039587838,,,
2018/9/7,6467.069824,-0.009556698,,,
2018/9/8,6225.97998,-0.037992263,,,
2018/9/9,6300.859863,0.011955254,,,
2018/9/10,6329.700195,0.004566762,,,
2018/9/11,6321.200195,-0.001343778,,,
2018/9/12,6351.799805,0.004829112,,,
2018/9/13,6517.310059,0.025723517,,,
2018/9/14,6512.709961,-0.000706077,,,
2018/9/15,6543.200195,0.004670726,,,
2018/9/16,6517.180176,-0.003984578,,,
2018/9/17,6281.200195,-0.036880718,,,
2018/9/18,6371.299805,0.014242424,,,
2018/9/19,6398.540039,0.004266346,,,
2018/9/20,6519.669922,0.018753904,,,
2018/9/21,6734.950195,0.032486666,,,
2018/9/22,6721.97998,-0.001927664,,,
2018/9/23,6710.629883,-0.001689932,,,
2018/9/24,6595.410156,-0.017318843,,,
2018/9/25,6446.470215,-0.022841249,,,
2018/9/26,6495,0.007499923,,,
2018/9/27,6676.75,0.027598692,,,
2018/9/28,6644.129883,-0.004897602,,,
2018/9/29,6601.959961,-0.006367172,,,
2018/9/30,6625.560059,0.003568337,,,
2018/10/1,6589.620117,-0.005439204,,,
2018/10/2,6556.100098,-0.005099773,,,
2018/10/3,6502.589844,-0.008195394,,,
2018/10/4,6576.689941,0.011331035,,,
2018/10/5,6622.47998,0.006938349,,,
2018/10/6,6588.310059,-0.005173044,,,
2018/10/7,6602.950195,0.002219673,,,
2018/10/8,6652.22998,0.007435585,,,
2018/10/9,6642.640137,-0.001442638,,,
2018/10/10,6585.529785,-0.00863471,,,
2018/10/11,6256.240234,-0.051295382,,,
2018/10/12,6274.580078,0.00292716,,,
2018/10/13,6285.990234,0.001816822,,,
2018/10/14,6290.930176,0.000785557,,,
2018/10/15,6596.540039,0.047436334,,,
2018/10/16,6596.109863,-6.52E-05,,,
2018/10/17,6544.430176,-0.007865727,,,
2018/10/18,6476.709961,-0.010401674,,,
2018/10/19,6465.410156,-0.001746207,,,
2018/10/20,6489.189941,0.003671254,,,
2018/10/21,6482.350098,-0.001054592,,,
2018/10/22,6487.160156,0.000741749,,,
2018/10/23,6475.740234,-0.00176194,,,
2018/10/24,6495.839844,0.003099025,,,
2018/10/25,6476.290039,-0.003014126,,,
2018/10/26,6474.75,-0.000237825,,,
2018/10/27,6480.379883,0.000869136,,,
2018/10/28,6486.390137,0.000927024,,,
2018/10/29,6332.629883,-0.023990543,,,
2018/10/30,6334.27002,0.000258964,,,
2018/10/31,6317.609863,-0.002633627,,,
2018/11/1,6377.779785,0.00947909,,,
2018/11/2,6388.439941,0.001670057,,,
2018/11/3,6361.259766,-0.004263664,,,
2018/11/4,6376.129883,0.002334878,,,
2018/11/5,6419.660156,0.006803869,,,
2018/11/6,6461.009766,0.006420435,,,
2018/11/7,6530.140137,0.010642787,,,
