Close,log return,,,
28650.16625,-0.00053106,,train,-0.010205762
28634.95533,-0.00053106,,test,0.024864724
28463.31375,-0.006012165,,whole,-0.004642328
28384.28072,-0.002780525,,,
28566.10876,0.006385511,,,
28658.1002,0.003215126,,,
28714.88479,0.001979489,,,
28558.32996,-0.005466961,,,
28654.48041,0.003361154,,,
28748.90493,0.003289862,,,
28757.13209,0.000286132,,,
28868.04738,0.003849547,,,
28801.22319,-0.002317498,,,
28921.40283,0.004164045,,,
28926.58164,0.000179049,,,
28892.73519,-0.001170766,,,
28971.49363,0.002722182,,,
28901.63744,-0.002414116,,,
28942.53129,0.001413932,,,
29130.23634,0.0064645,,,
29031.58669,-0.003392251,,,
29097.95389,0.002283425,,,
29038.17691,-0.002056449,,,
28972.11625,-0.002277551,,,
29061.47356,0.003079506,,,
29058.55557,-0.000100412,,,
29100.00004,0.001425224,,,
29109.8289,0.000337704,,,
29075.67346,-0.001174019,,,
29007.47025,-0.00234847,,,
28832.30262,-0.006057014,,,
28920.32546,0.003048274,,,
28765.99888,-0.005350556,,,
28837.51346,0.002482995,,,
28929.26927,0.00317677,,,
28994.57601,0.002254918,,,
29368.78174,0.012823486,,,
29380.44015,0.000396887,,,
29327.57461,-0.001800966,,,
29401.64653,0.002522491,,,
29247.47953,-0.005257277,,,
29291.09251,0.00149006,,,
29275,-0.00054955,,,
29200.64526,-0.002543102,,,
29271.95835,0.002439198,,,
29205.40134,-0.002276335,,,
29284.99958,0.002721756,,,
29286.07109,3.65884E-05,,,
29306.58999,0.000700391,,,
29341.74244,0.001198754,,,
29176.54795,-0.005645925,,,
29215.01624,0.001317598,,,
29131.10706,-0.002876258,,,
29158.8216,0.000950921,,,
29188.83903,0.001028916,,,
29188.20135,-2.18471E-05,,,
29227.85337,0.001357573,,,
29113.42269,-0.003922808,,,
29191.1462,0.002666122,,,
29162.31876,-0.000988028,,,
28941.92057,-0.007586339,,,
29005.76697,0.002203588,,,
29078.97817,0.002520842,,,
29085.21991,0.000214625,,,
29009.28217,-0.002614285,,,
29038.1447,0.000994447,,,
29003.5578,-0.001191795,,,
29005.96766,8.30849E-05,,,
29138.90512,0.004572637,,,
29193.86445,0.001884338,,,
29221.96873,0.000962215,,,
29201.20742,-0.000710722,,,
29268.2,0.002291544,,,
29234.81428,-0.001141334,,,
29275.32672,0.001384801,,,
29213,-0.002131254,,,
29285.23842,0.002469765,,,
29353.99155,0.002344955,,,
29287.72332,-0.002260107,,,
29307.11969,0.000662051,,,
29252.47749,-0.001866209,,,
29442.3901,0.006471205,,,
29490.36749,0.001628208,,,
29228.1151,-0.008932592,,,
29368.82471,0.004802636,,,
29379.06619,0.000348659,,,
29380.34581,4.35546E-05,,,
29460,0.00270747,,,
29445.92211,-0.000477979,,,
29424.93999,-0.000712818,,,
29398.67275,-0.000893085,,,
29329.64539,-0.002350736,,,
29350.9352,0.000725617,,,
29296.08289,-0.001870592,,,
29135.3423,-0.005501868,,,
29195.37806,0.002058462,,,
29224.16424,0.000985498,,,
29272.39108,0.001648878,,,
29283.39383,0.000375804,,,
29306.70542,0.000795752,,,
29311.56064,0.000165656,,,
29273.98629,-0.001282718,,,
29169.61828,-0.003571584,,,
29060.89844,-0.003734123,,,
29217.99814,0.00539132,,,
29033.51818,-0.006333932,,,
28891.70372,-0.004896477,,,
29063.98224,0.005945199,,,
29016.98316,-0.001618399,,,
29061.01309,0.001516235,,,
29104.38906,0.00149147,,,
29039.11509,-0.002245272,,,
29157.03655,0.004052557,,,
29222.40919,0.002239578,,,
29181.98055,-0.001384439,,,
29224.48843,0.001455588,,,
29191.85232,-0.001117362,,,
29226.9773,0.001202523,,,
29222.8009,-0.000142906,,,
29182.29999,-0.001386897,,,
29234.7022,0.001794074,,,
29264.13217,0.001006173,,,
29302.31972,0.001304076,,,
29255.36799,-0.001603607,,,
29258.68486,0.00011337,,,
29273.1,0.000492558,,,
29286.48072,0.000456995,,,
29330.13586,0.001489514,,,
29313.3347,-0.000572993,,,
29000,-0.010746692,,,
29174.21241,0.005989353,,,
29182.33557,0.000278397,,,
29111.46635,-0.002431451,,,
29207.4888,0.003293013,,,
29347.4567,0.004780746,,,
29358.44411,0.00037432,,,
29379.08512,0.000702822,,,
29380.69799,5.48968E-05,,,
29358.39346,-0.000759444,,,
29317.06977,-0.001408551,,,
29350,0.001122614,,,
29301.34094,-0.001659265,,,
29272.96891,-0.000968753,,,
29341.5393,0.002339708,,,
29239.33854,-0.003489222,,,
29302.34467,0.002152523,,,
29343.1752,0.001392452,,,
29352,0.000300699,,,
29399.75349,0.001625602,,,
29491.10021,0.00310224,,,
