Date,High,Low,gold_close
2018/4/3,"1,341.50","1,328.50","1,332.80"
2018/4/4,"1,347.30","1,331.60","1,335.80"
2018/4/5,"1,333.70","1,322.60","1,324.30"
2018/4/6,"1,333.00","1,319.00","1,331.90"
2018/4/9,"1,337.50","1,327.00","1,336.30"
2018/4/10,"1,342.00","1,333.00","1,342.00"
2018/4/11,"1,365.40","1,340.10","1,356.50"
2018/4/12,"1,351.50","1,334.60","1,338.40"
2018/4/13,"1,346.00","1,335.90","1,344.80"
2018/4/16,"1,348.80","1,341.00","1,347.50"
2018/4/17,"1,348.10","1,339.00","1,347.20"
2018/4/18,"1,354.20","1,343.50","1,351.20"
2018/4/19,"1,355.20","1,341.60","1,346.80"
2018/4/20,"1,343.40","1,335.30","1,336.70"
2018/4/23,"1,334.40","1,322.50","1,322.50"
2018/4/24,"1,331.70","1,326.20","1,331.40"
2018/4/25,"1,325.00","1,320.00","1,321.20"
2018/4/26,"1,316.30","1,315.70","1,316.30"
2018/4/27,"1,321.70","1,312.80","1,320.30"
2018/4/30,"1,316.20","1,309.60","1,316.20"
2018/5/1,"1,313.80","1,303.40","1,303.80"
2018/5/2,"1,309.30","1,302.60","1,302.60"
2018/5/3,"1,310.70","1,310.70","1,310.70"
2018/5/4,"1,312.70","1,312.70","1,312.70"
2018/5/7,"1,312.50","1,310.20","1,312.20"
2018/5/8,"1,312.00","1,308.50","1,312.00"
2018/5/9,"1,311.30","1,311.30","1,311.30"
2018/5/10,"1,320.80","1,312.20","1,320.80"
2018/5/11,"1,319.00","1,319.00","1,319.00"
2018/5/14,"1,319.90","1,316.50","1,316.50"
2018/5/15,"1,304.70","1,288.90","1,288.90"
2018/5/16,"1,294.00","1,285.40","1,290.20"
2018/5/17,"1,291.30","1,288.20","1,288.20"
2018/5/18,"1,290.20","1,285.20","1,290.20"
2018/5/21,"1,292.10","1,287.40","1,290.20"
2018/5/22,"1,291.70","1,291.70","1,291.70"
2018/5/23,"1,289.30","1,289.30","1,289.30"
2018/5/24,"1,303.70","1,303.70","1,303.70"
2018/5/25,"1,303.30","1,303.30","1,303.30"
2018/5/29,"1,298.70","1,298.70","1,298.70"
2018/5/30,"1,303.70","1,295.20","1,301.50"
2018/5/31,"1,306.80","1,296.60","1,300.10"
2018/6/1,"1,299.50","1,288.90","1,294.80"
2018/6/4,"1,297.10","1,290.00","1,293.10"
2018/6/5,"1,299.80","1,289.90","1,297.50"
2018/6/6,"1,300.40","1,294.10","1,297.10"
2018/6/7,"1,302.80","1,296.20","1,298.70"
2018/6/8,"1,299.40","1,294.80","1,298.10"
2018/6/11,"1,302.00","1,295.20","1,298.90"
2018/6/12,"1,298.10","1,292.70","1,295.10"
2018/6/13,"1,299.40","1,290.90","1,296.90"
2018/6/14,"1,307.70","1,297.20","1,304.00"
2018/6/15,"1,307.70","1,274.00","1,274.60"
2018/6/18,"1,280.70","1,276.20","1,276.20"
2018/6/19,"1,281.80","1,269.90","1,275.60"
2018/6/20,"1,274.40","1,271.20","1,271.20"
2018/6/21,"1,268.90","1,260.00","1,267.20"
2018/6/22,"1,270.20","1,267.00","1,267.40"
2018/6/25,"1,271.20","1,265.60","1,265.60"
2018/6/26,"1,267.20","1,256.60","1,256.60"
2018/6/27,"1,255.50","1,252.30","1,252.80"
2018/6/28,"1,251.70","1,244.80","1,247.80"
2018/6/29,"1,253.30","1,249.10","1,251.30"
2018/7/2,"1,249.90","1,239.80","1,239.80"
2018/7/3,"1,254.10","1,237.00","1,251.60"
2018/7/5,"1,257.30","1,253.60","1,257.30"
2018/7/6,"1,255.50","1,254.30","1,254.30"
2018/7/9,"1,262.30","1,257.70","1,258.10"
2018/7/10,"1,256.90","1,249.30","1,253.80"
2018/7/11,"1,253.20","1,242.80","1,242.80"
2018/7/12,"1,246.70","1,240.90","1,245.00"
2018/7/13,"1,247.00","1,239.60","1,239.60"
2018/7/16,"1,243.80","1,238.10","1,238.10"
2018/7/17,"1,225.70","1,225.70","1,225.70"
2018/7/18,"1,226.70","1,222.20","1,226.30"
2018/7/19,"1,228.00","1,211.70","1,222.40"
2018/7/20,"1,229.50","1,229.50","1,229.50"
2018/7/23,"1,224.00","1,222.00","1,224.00"
2018/7/24,"1,223.90","1,223.90","1,223.90"
2018/7/25,"1,231.40","1,231.40","1,231.40"
2018/7/26,"1,227.80","1,225.30","1,225.30"
2018/7/27,"1,222.60","1,222.60","1,222.60"
2018/7/30,"1,223.90","1,218.10","1,221.30"
2018/7/31,"1,228.10","1,213.00","1,223.70"
2018/8/1,"1,223.70","1,214.40","1,217.90"
2018/8/2,"1,219.30","1,205.80","1,210.60"
2018/8/3,"1,218.60","1,205.10","1,214.20"
2018/8/6,"1,214.40","1,206.60","1,208.60"
2018/8/7,"1,214.80","1,207.80","1,209.60"
2018/8/8,"1,215.20","1,205.90","1,212.60"
2018/8/9,"1,215.30","1,211.60","1,211.90"
2018/8/10,"1,216.40","1,205.60","1,211.10"
2018/8/13,"1,207.40","1,191.30","1,191.30"
2018/8/14,"1,197.50","1,192.80","1,193.00"
2018/8/15,"1,188.10","1,174.60","1,177.50"
2018/8/16,"1,180.20","1,161.40","1,176.20"
